,nvda,msft,googl,amzn,aapl,meta
2023-01-03,100.0,100.0,100.0,100.0,100.0,100.0
2023-01-04,103.03178316483424,95.62567058592343,98.83302961731782,99.207643547432,101.0314281547218,102.10838388262312
2023-01-05,99.65073958244272,92.79153702551338,96.72350955307135,96.85388375921303,99.96001759597995,101.76367373570783
2023-01-06,103.8002161053002,93.88510791602528,98.00269028631247,100.30296217333377,103.63796451163061,104.2328009386896
2023-01-09,109.17219745691466,94.79921396521796,98.76570340698245,101.79445458052155,104.06172836519238,103.79187325841117
2023-01-10,111.13517838690905,95.52130481773818,99.21453617765282,104.71918325117645,104.5254560118802,106.61374876984999
2023-01-11,111.77785223449972,98.40970097926834,102.69299662402214,110.80167405736483,106.73224897579598,106.53358906686745
2023-01-12,115.34054191185032,99.55336193626569,102.25537625684224,111.01141573275038,106.66827712936389,109.59595601572249
2023-01-13,118.05102149835587,99.85389578488848,103.36625009581037,114.33232707468726,107.7476221325963,109.8123946108565
2023-01-17,123.66051593973326,100.32138997150624,102.43491281773656,111.92030225275164,108.6911324238934,108.51371372617793
2023-01-18,121.39015649827785,98.42638456751712,102.24416385335178,111.23281219287841,108.10745756514541,106.63780161213221
2023-01-19,117.11492088254514,96.80689090492254,104.40979772444314,109.15870500850818,108.15543644996947,109.14703948777678
2023-01-20,124.61755750859214,100.26711426980643,109.98652267374133,113.31857416199121,110.23429812828378,111.7283865763935
2023-01-23,134.07615917845305,101.25217305865783,111.97261998393839,113.63318223007151,112.82482291269054,114.85491087595928
2023-01-24,134.57912885902084,101.02675793403859,109.62746681508355,112.23491032083194,113.96018670697042,114.7506860022259
2023-01-25,134.98427627866192,100.42991517374644,106.84469327904884,113.23700844878547,113.42450314030921,113.43595345140103
2023-01-26,138.33040048839104,103.51446631513443,109.42549681564289,115.61407780648952,115.1035283711603,118.08561073538391
2023-01-27,142.26336489637364,103.58124652015852,111.50135377472165,119.13306714907341,116.67864277697863,121.64501222521771
2023-01-30,133.85961371811158,101.3064291094881,108.774676782401,117.1638352473939,114.33599028660217,117.8932249825321
2023-01-31,136.47923357712426,103.43516195591656,110.90663891675925,120.17012074125853,115.36738121953591,119.42439612849101
2023-02-01,146.30108742234341,105.49710149674124,112.69074896438478,122.52388941947348,116.27888077309159,122.75133201398172
2023-02-02,151.65210114453646,110.44324501359186,120.893170222066,131.56607325054435,120.58846902505155,151.3307564779168
2023-02-03,147.39784649641183,107.83453312809092,117.57180426647922,120.47308291459228,123.53083896483479,149.53504105225946
2023-02-06,147.32101854127987,107.17503029509056,115.46229283379816,119.06315622061024,121.31605572374633,149.15822140881724
2023-02-07,154.89346723627838,111.67877378574002,120.78095987150705,118.9815905074045,123.65073034421283,153.61550526841697
2023-02-08,155.11700190642702,111.33228965381718,111.50135377472165,116.58122047021145,121.46798265539121,147.0498683473657
2023-02-09,156.03909742625018,110.0341925130187,106.60906880600591,114.47214893161362,120.62847003996566,142.63266433925727
2023-02-10,148.55046589619076,109.8171683096977,106.11534326354655,113.73805751276225,120.92470584396342,139.61040189883073
